state,score,grade,year,grade-num
UT,76.7,A,2016,11
ME,76.6,A,2016,11
IL,75.7,A,2016,11
ID,75.7,A,2016,11
AZ,75.5,A,2016,11
ID,11,A,2012,11
IL,21,A,2012,11
ME,10,A,2012,11
NE,10,A,2012,11
OH,19,A,2012,11
VA,10,A,2012,11
WY,17,A,2012,11
IL,32,A,2013,11
SC,24,A,2013,11
TN,22,A,2013,11
IA,71.9,A,2014,11
IL,72.5,A,2014,11
VA,73.9,A,2014,11
VT,84.3,A,2015,11
UT,81,A,2015,11
IA,79.8,A,2015,11
VA,78.6,A,2015,11
KY,78.3,A,2015,11
WI,75,A-,2016,10
NH,73.9,A-,2016,10
KY,73.1,A-,2016,10
MN,16,A-,2013,10
MO,16,A-,2013,10
KY,69.5,A-,2014,10
ME,70.8,A-,2014,10
OH,69.7,A-,2014,10
UT,69.9,A-,2014,10
NE,77.8,A-,2015,10
TN,77.7,A-,2015,10
SC,77.5,A-,2015,10
VT,80.9,A+,2016,12
VT,28,A+,2012,12
VA,47,A+,2013,12
VT,36,A+,2013,12
VT,76.9,A+,2014,12
VA,70.9,B,2016,9
MN,70.7,B,2016,9
IN,70.6,B,2016,9
SC,70.6,B,2016,9
OH,70.2,B,2016,9
MO,70.2,B,2016,9
NM,70.2,B,2016,9
NE,69.5,B,2016,9
WY,69.3,B,2016,9
AZ,4,B,2012,9
MD,2,B,2012,9
MO,4,B,2012,9
NH,2,B,2012,9
SC,2,B,2012,9
WI,4,B,2012,9
AR,-1,B,2013,9
AZ,-1,B,2013,9
CT,8,B,2013,9
GA,-2,B,2013,9
IA,10,B,2013,9
IN,9,B,2013,9
KS,2,B,2013,9
KY,5,B,2013,9
NH,6,B,2013,9
NJ,5,B,2013,9
NV,14,B,2013,9
PA,2,B,2013,9
SD,10,B,2013,9
UT,10,B,2013,9
AZ,64.7,B,2014,9
CO,66,B,2014,9
IN,66.7,B,2014,9
KS,65.2,B,2014,9
MN,66.7,B,2014,9
MO,64.5,B,2014,9
NE,66.4,B,2014,9
NM,64,B,2014,9
NV,66,B,2014,9
OR,65.1,B,2014,9
RI,63.9,B,2014,9
TN,64.4,B,2014,9
WI,66.3,B,2014,9
WY,65.3,B,2014,9
OR,76.9,B,2015,9
AZ,76.7,B,2015,9
CO,76.5,B,2015,9
MO,75.8,B,2015,9
WI,75.4,B,2015,9
ID,75,B,2015,9
NH,74.5,B,2015,9
IL,72.1,B,2015,9
MD,72.1,B,2015,9
ME,71.4,B,2015,9
